Categoria,Produto
BEBIDAS , CERV HEINEKEN 330ML LONG NECK
MERCEARIA , OLEO SOJA CONCORDIA 900L PET
MERCEARIA , FEIJAO PRETO PRECIOSO 1KG 
CARNES & AVES , CARNE BOV ACEM C/ OSSO RESERVA KG
PERECIVEIS LACTEOS , QUEIJO MUSSARELA P/FATIAR KG
MERCEARIA , LEITE UHT BETANIA 1L INTEGRAL
CARNES & AVES , FILE PEITO BOMTODO 1KG BANDEJA
MERCEARIA , ARROZ PARB RAMPINELLI 1KG 
HORTIFRUTIGRANJEIRO , CEBOLA BRANCA KG
MERCEARIA , OLEO SOJA SOYA PET 900ML
HORTIFRUTIGRANJEIRO , ALHO KG
HORTIFRUTIGRANJEIRO , BANANA PRATA/PACOVAN KG
PADARIA & PASTELARIA , PAO DE FORMA VISCONTI TRAD 400G
MERCEARIA , CAFE SANTA CLARA ALMOFADA 250G CLASSICO
HORTIFRUTIGRANJEIRO , BATATA INGLESA KG
CARNES & AVES , CARNE DE SOL COXAO MOLE KG
HORTIFRUTIGRANJEIRO , TOMATE SM KG
HORTIFRUTIGRANJEIRO , LIMAO THAITI KG
MERCEARIA , CESTA NATALINA SONHO DE NATAL
MERCEARIA , MAC IMPERADOR 500G ESPAGUETE
MERCEARIA , FLOCAO DE MILHO SAO BRAZ 500G PREMI
BEBIDAS , VINHO CHI FOYE 750ML RESERV CAB SAUVIGNON
CARNES & AVES , CARNE BOV CAPA FILE FRIBOI KG
HORTIFRUTIGRANJEIRO , OVO BRANCO AVINE C/30 MEDIO
BEBIDAS , CERV BUDWEISER 330ML ONE WAY
BEBIDAS , VINHO LOMA NEGRA 750ML CABERNET/SAUVIG
HORTIFRUTIGRANJEIRO , LARANJA PERA KG
MERCEARIA , LEITE UHT ELEGE 1L INTEGRAL
BEBIDAS , WHISKY CHIVAS 1LT 12 ANOS BLENDED SCOTC
BEBIDAS , REF GUARANA ANTARCTICA 2L
MERCEARIA , CESTA BASICA FAVORITO TIPO 3
MERCEARIA , ACUCAR TRITURADO DUMEL 1KG 
CARNES & AVES , CARNE DE SOL PATINHO KG
MERCEARIA , CESTA BASICA FAVORITO TIPO 1
BEBIDAS , VINHO LOMA NEGRA 750ML SAUVIGNON/BLANC
BEBIDAS , REF COCA COLA 2L
CARNES & AVES , CARNE BOV COXAO MOLE KG
MERCEARIA , FARINHA TRIGO FINNA 1KG S/FERMENTO
MERCEARIA , CREME DE LEITE BETANIA 200G
PADARIA & PASTELARIA , PAO DE FORMA VISCONTI INT 400G
CARNES & AVES , CARNE DE SOL CONTRA FILE KG
HORTIFRUTIGRANJEIRO , MAMAO FORMOSA KG
MERCEARIA , CAFE SAO BRAZ FAM 250G ALMOFADA
PERECIVEIS LACTEOS , QUEIJO COALHO JUCURUTU TRAD KG LANCHE
BEBIDAS , CERV HEINEKEN LATA 350ML
MERCEARIA , LEITE PO NINHO 750G INTEGRAL
BEBIDAS , REF COCA COLA ZERO 350ML
BEBIDAS , VINHO CHI FOYE 750ML VINEYARDS SAUV BLANC
CARNES & AVES , AVE FESTIVA BOMTODO KG
CARNES & AVES , CARNE BOV PATINHO RESFRIADO KG
MERCEARIA , FEIJAO CARIOCA PRECIOSO 1KG 
BEBIDAS , CERV CORONA 330ML LONG NECK
CARNES & AVES , CARNE BOV PATINHO RESERVA KG
BEBIDAS , CERV BRAHMA DUPLO MALTE 350ML
HORTIFRUTIGRANJEIRO , MORANGO BANDEJA 250G
MERCEARIA , ARROZ BRANCO TIO JOAO 1KG 
MERCEARIA , ACUCAR TRITURADO ALEGRE 1KG 
HORTIFRUTIGRANJEIRO , ABACAXI UN
CARNES & AVES , FILEZINHO SADIA 1KG BANDEJA
BEBIDAS , REF COCA COLA 350ML
MERCEARIA , CAFE BANGU 250G ALMOF
CARNES & AVES , FILE PEITO FRANGO CONG KG
CARNES & AVES , CARNE MOIDA FREEZER 500G
BEBIDAS , VINHO LOMA NEGRA 750ML CARMENERE/TTO
MERCEARIA , CREME DE LEITE CAMPONESA 200G TRAD
HORTIFRUTIGRANJEIRO , CENOURA KG
MERCEARIA , FEIJAO CARIOCA CURIMATAU 1KG 
CARNES & AVES , CARNE BOV ACEM COM OSSO KG
BEBIDAS , CERV HEINEKEN 600ML LONG NECK
CARNES & AVES , PEITO FRANGO CONG BOM TODO 1KG
BEBIDAS , CERV SPATEN N LONG NECK 355ML
CARNES & AVES , CARNE BOV COXAO MOLE RESERVA KG
HORTIFRUTIGRANJEIRO , ALFACE CRESPA UND
MERCEARIA , CESTA NATALINA ALEGRIA DE NATAL
MERCEARIA , LEITE UHT NATUTAL MILK 1L INTEGRAL
HORTIFRUTIGRANJEIRO , OVO BRANCO AVINE C/20 EXTRA
