Code,Produto,Quantidade,Nro Doctos,Unitário Médio,Valor Total,Status
875,CERV HEINEKEN 330ML LONG NECK,8483,31,5.2,44101.7,1
63395,FEIJAO PRETO PRECIOSO 1KG,3477,63,6.18,21485.49,1
14654,LEITE UHT BETANIA 1L INTEGRAL,2877,185,6.65,19128.75,1
62296,OLEO SOJA CONCORDIA 900L PET,2127,65,8.84,18802.2,1
18908,FILE PEITO BOMTODO 1KG BANDEJA,869,175,20.4,17728.38,1
66105,CARNE BOV ACEM C/ OSSO RESERVA KG,730,14,24.12,17617.19,0
59231,QUEIJO MUSSARELA P/FATIAR KG,419,350,41.83,17535.16,1
64117,ARROZ PARB RAMPINELLI 1KG,3102,26,3.87,12001.35,1
18164,CEBOLA BRANCA KG,1691,743,6.88,11630.65,1
6803,OLEO SOJA SOYA PET 900ML,1116,142,8.91,9944.28,1
56824,PAO DE FORMA VISCONTI TRAD 400G,1108,104,8.48,9392.83,1
36903,ALHO KG,336,301,27.08,9107.62,1
5078,CAFE SANTA CLARA ALMOFADA 250G CLASSICO,1068,113,8.36,8933.71,1
11131,BANANA PRATA/PACOVAN KG,2015,1014,4.38,8826.73,1
35410,CESTA NATALINA SONHO DE NATAL,142,2,60.78,8631.33,1
7436,CARNE DE SOL COXAO MOLE KG,218,104,38.9,8489.61,1
10847,LIMAO THAITI KG,1229,485,6.7,8237.23,1
18136,BATATA INGLESA KG,1566,734,5.19,8124.4,1
1705,CARNE BOV CAPA FILE FRIBOI KG,264,11,29.06,7679.16,1
24140,TOMATE SM KG,1993,765,3.75,7469.2,1
61917,OVO BRANCO AVINE C/30 MEDIO,334,204,20.86,6966.84,1
60280,VINHO CHI FOYE 750ML RESERV CAB SAUVIGNON,213,18,30.74,6546.8,1
24569,WHISKY CHIVAS 1LT 12 ANOS BLENDED SCOTC,48,6,129.84,6232.18,1
10712,LARANJA PERA KG,2508,561,2.45,6156.76,1
33661,VINHO LOMA NEGRA 750ML CABERNET/SAUVIG,236,20,25.21,5950.12,1
3777,REF GUARANA ANTARCTICA 2L,819,58,7.22,5912.98,1
18162,CESTA BASICA FAVORITO TIPO 3,92,21,64.23,5909.29,0
14680,LEITE UHT ELEGE 1L INTEGRAL,884,80,6.36,5620.27,1
9882,CREME DE LEITE BETANIA 200G,1629,86,3.44,5610.53,1
13487,MAC IMPERADOR 500G ESPAGUETE,1564,43,3.57,5589.31,1
